,date,eth_price_floor,num_daily_transactions,project_name,numerator,collateral_value
0,2017-06-23,0.01,18,Cryptopunks,0.18,
1,2017-06-24,0.001,16,Cryptopunks,0.016,
2,2017-06-25,0.1,12,Cryptopunks,1.2000000000000002,
3,2017-06-26,1e-06,5,Cryptopunks,4.9999999999999996e-06,
4,2017-06-27,1e-18,23,Cryptopunks,2.3e-17,
5,2017-06-28,0.03,8,Cryptopunks,0.24,
6,2017-06-29,0.06,28,Cryptopunks,1.68,
7,2017-06-30,0.14,21,Cryptopunks,2.9400000000000004,
8,2017-07-01,0.18,9,Cryptopunks,1.6199999999999999,
9,2017-07-02,0.2,25,Cryptopunks,5.0,
10,2017-07-03,0.12,44,Cryptopunks,5.279999999999999,
11,2017-07-04,0.235,46,Cryptopunks,10.809999999999999,
12,2017-07-05,0.235,15,Cryptopunks,3.525,
13,2017-07-06,0.235,13,Cryptopunks,3.0549999999999997,
14,2017-07-07,0.1,35,Cryptopunks,3.5,
15,2017-07-08,0.29,27,Cryptopunks,7.829999999999999,
16,2017-07-09,0.3,8,Cryptopunks,2.4,
17,2017-07-10,0.001,12,,0.012,
18,2017-07-11,0.062,40,Cryptopunks,2.48,
19,2017-07-12,0.35,13,Cryptopunks,4.55,
20,2017-07-13,0.25,27,Cryptopunks,6.75,
21,2017-07-14,0.08,6,Cryptopunks,0.48,
22,2017-07-15,0.2,3,Cryptopunks,0.6000000000000001,
23,2017-07-16,0.37,3,Cryptopunks,1.1099999999999999,
24,2017-07-17,1.6,3,Cryptopunks,4.800000000000001,
25,2017-07-18,0.3,6,Cryptopunks,1.7999999999999998,
26,2017-07-19,0.3,26,Cryptopunks,7.8,
27,2017-07-20,0.29,20,Cryptopunks,5.8,
28,2017-07-21,0.3,21,Cryptopunks,6.3,
29,2017-07-22,0.29,10,Cryptopunks,2.9,
30,2017-07-23,0.3,3,Cryptopunks,0.8999999999999999,0.17432413443830566
31,2017-07-24,0.19,13,Cryptopunks,2.47,0.18064016098484847
32,2017-07-25,0.44,8,Cryptopunks,3.52,0.18634667619047618
33,2017-07-26,0.32,3,Cryptopunks,0.96,0.1922303358925144
34,2017-07-27,0.3,1,Cryptopunks,0.3,0.1948208092485549
35,2017-07-28,0.275,5,Cryptopunks,1.375,0.20404828973843056
36,2017-07-29,0.275,8,,2.2,0.20758502024291495
37,2017-07-30,0.2,14,,2.8000000000000003,0.2174409282700422
38,2017-07-31,0.45,1,Cryptopunks,0.45,0.22040042826552458
39,2017-08-01,0.28,1,Cryptopunks,0.28,0.22169281045751632
40,2017-08-02,2.4,1,Cryptopunks,2.4,0.2230735632183908
41,2017-08-03,0.29,12,Cryptopunks,3.4799999999999995,0.2401964285714286
42,2017-08-04,0.0,0,0,0.0,0.24253351955307267
43,2017-08-05,3.0,2,Cryptopunks,6.0,0.24286297376093297
44,2017-08-06,0.0,0,0,0.0,0.2597801204819278
45,2017-08-07,0.285,1,Cryptopunks,0.285,0.27860942760942764
46,2017-08-08,0.25,4,Cryptopunks,1.0,0.2774981549815498
47,2017-08-09,0.25,3,Cryptopunks,0.75,0.27641198501872655
48,2017-08-10,0.0,0,0,0.0,0.2889147286821705
49,2017-08-11,0.1,2,Cryptopunks,0.2,0.33055045871559635
50,2017-08-12,0.175,16,Cryptopunks,2.8,0.3271014492753623
51,2017-08-13,0.17444,6,Cryptopunks,1.04664,0.3253061224489796
52,2017-08-14,0.3,2,Cryptopunks,0.6,0.32819714285714285
53,2017-08-15,0.174444,4,Cryptopunks,0.697776,0.3298802051282051
54,2017-08-16,0.0,0,0,0.0,0.3260939591836735
55,2017-08-17,0.0,0,0,0.0,0.30629231088082903
56,2017-08-18,0.0,0,0,0.0,0.30649420320855614
57,2017-08-19,0.0,0,0,0.0,0.30754295652173913
